etype,etype_desc,mtype,mtype_desc
0,NA,0,NA
1,made_shot,0,NA
1,made_shot,1,NA
1,made_shot,2,NA
1,made_shot,3,NA
1,made_shot,5,NA
1,made_shot,6,NA
1,made_shot,7,NA
1,made_shot,9,NA
1,made_shot,40,NA
1,made_shot,41,NA
1,made_shot,42,NA
1,made_shot,43,NA
1,made_shot,44,NA
1,made_shot,45,NA
1,made_shot,46,NA
1,made_shot,47,NA
1,made_shot,48,NA
1,made_shot,49,NA
1,made_shot,50,NA
1,made_shot,51,NA
1,made_shot,52,NA
1,made_shot,55,NA
1,made_shot,56,NA
1,made_shot,57,NA
1,made_shot,58,NA
1,made_shot,63,NA
1,made_shot,66,NA
1,made_shot,67,NA
1,made_shot,71,NA
1,made_shot,72,NA
1,made_shot,73,NA
1,made_shot,74,NA
1,made_shot,75,NA
1,made_shot,76,NA
1,made_shot,77,NA
1,made_shot,78,NA
1,made_shot,79,NA
1,made_shot,80,NA
1,made_shot,81,NA
1,made_shot,82,NA
1,made_shot,83,NA
1,made_shot,85,NA
1,made_shot,86,NA
1,made_shot,87,NA
1,made_shot,93,NA
1,made_shot,96,NA
1,made_shot,97,NA
1,made_shot,98,NA
1,made_shot,99,NA
1,made_shot,100,NA
1,made_shot,101,NA
1,made_shot,102,NA
1,made_shot,103,NA
1,made_shot,104,NA
1,made_shot,105,NA
1,made_shot,106,NA
1,made_shot,107,NA
1,made_shot,108,NA
1,made_shot,109,NA
1,made_shot,110,NA
2,missed_shot,0,NA
2,missed_shot,1,NA
2,missed_shot,2,NA
2,missed_shot,3,NA
2,missed_shot,5,NA
2,missed_shot,6,NA
2,missed_shot,7,NA
2,missed_shot,9,NA
2,missed_shot,40,NA
2,missed_shot,41,NA
2,missed_shot,42,NA
2,missed_shot,43,NA
2,missed_shot,44,NA
2,missed_shot,45,NA
2,missed_shot,46,NA
2,missed_shot,47,NA
2,missed_shot,48,NA
2,missed_shot,49,NA
2,missed_shot,50,NA
2,missed_shot,51,NA
2,missed_shot,52,NA
2,missed_shot,55,NA
2,missed_shot,57,NA
2,missed_shot,58,NA
2,missed_shot,63,NA
2,missed_shot,66,NA
2,missed_shot,67,NA
2,missed_shot,71,NA
2,missed_shot,72,NA
2,missed_shot,73,NA
2,missed_shot,74,NA
2,missed_shot,75,NA
2,missed_shot,76,NA
2,missed_shot,77,NA
2,missed_shot,78,NA
2,missed_shot,79,NA
2,missed_shot,80,NA
2,missed_shot,81,NA
2,missed_shot,82,NA
2,missed_shot,83,NA
2,missed_shot,85,NA
2,missed_shot,86,NA
2,missed_shot,87,NA
2,missed_shot,93,NA
2,missed_shot,96,NA
2,missed_shot,97,NA
2,missed_shot,98,NA
2,missed_shot,99,NA
2,missed_shot,100,NA
2,missed_shot,101,NA
2,missed_shot,102,NA
2,missed_shot,103,NA
2,missed_shot,104,NA
2,missed_shot,105,NA
2,missed_shot,106,NA
2,missed_shot,107,NA
2,missed_shot,108,NA
2,missed_shot,109,NA
2,missed_shot,110,NA
3,free_throw,10,NA
3,free_throw,11,NA
3,free_throw,12,NA
3,free_throw,13,NA
3,free_throw,14,NA
3,free_throw,15,NA
3,free_throw,16,NA
3,free_throw,18,NA
3,free_throw,19,NA
3,free_throw,20,NA
3,free_throw,21,NA
3,free_throw,22,NA
3,free_throw,25,NA
3,free_throw,26,NA
3,free_throw,27,NA
3,free_throw,28,NA
3,free_throw,29,NA
4,rebound,0,NA
4,rebound,1,NA
5,turnover,0,NA
5,turnover,1,bad_pass
5,turnover,2,lost_ball
5,turnover,3,NA
5,turnover,4,traveling
5,turnover,5,foul
5,turnover,6,NA
5,turnover,7,discontinue_dribble
5,turnover,8,offensive_three_second_violation
5,turnover,9,five_second_violation
5,turnover,10,eight_second_violation
5,turnover,11,shot_clock
5,turnover,12,inbound
5,turnover,13,backcourt
5,turnover,15,offensive_goaltending
5,turnover,17,lane_violation
5,turnover,18,jump_ball_violation
5,turnover,19,kicked_ball
5,turnover,20,illegal_assist
5,turnover,21,palming
5,turnover,23,double_personal
5,turnover,24,ten_second_violation
5,turnover,33,punched_ball
5,turnover,34,swinging_elbows
5,turnover,35,basket_from_below
5,turnover,36,illegal_screen
5,turnover,37,offensive_foul
5,turnover,38,five_second_inbound
5,turnover,39,step_out_of_bounds
5,turnover,40,out_of_bounds_lost_ball
5,turnover,41,possession_lost_ball
5,turnover,42,excess_timeout
5,turnover,43,NA
5,turnover,44,NA
5,turnover,45,out_of_bounds_bad_pass
6,foul,0,NA
6,foul,1,personal
6,foul,2,shooting
6,foul,3,loose_ball
6,foul,4,offensive
6,foul,5,inbound
6,foul,6,away_from_play
6,foul,8,punch
6,foul,9,clear_path
6,foul,10,double_personal
6,foul,11,technical
6,foul,12,unsportsmanlike_technical
6,foul,13,hanging_technical
6,foul,14,flagrant_one
6,foul,15,flagrant_two
6,foul,16,double_technical
6,foul,17,defensive_three_second
6,foul,18,delay_technical
6,foul,19,taunting_technical
6,foul,25,excess_timeout_technical
6,foul,26,offensive_charge
6,foul,27,personal_block
6,foul,28,personal_take
6,foul,29,shooting_block
6,foul,30,too_many_players_technical
6,foul,31,transition_take
6,foul,32,unsportsmanlike_technical_flopping
6,foul,33,unsportsmanlike_technical_bench
7,violation,1,delay_of_game
7,violation,2,defensive_goaltending
7,violation,3,lane_violation
7,violation,4,jump_ball_violation
7,violation,5,kicked_ball
7,violation,6,double_lane
8,substitution,0,NA
9,timeout,0,NA
9,timeout,1,NA
9,timeout,2,NA
9,timeout,4,NA
9,timeout,7,NA
10,jumpball,0,NA
10,jumpball,1,NA
11,ejection,0,NA
11,ejection,1,NA
11,ejection,3,NA
11,ejection,4,NA
12,start_period,0,NA
13,end_period,0,NA
18,instant_replay,0,NA
18,instant_replay,1,NA
18,instant_replay,2,NA
18,instant_replay,3,NA
18,instant_replay,4,NA
18,instant_replay,5,NA
18,instant_replay,6,NA
18,instant_replay,7,NA
20,stoppage,1,NA
20,stoppage,2,NA
20,stoppage,3,NA
20,stoppage,4,NA
20,stoppage,5,NA
20,stoppage,6,NA
