eventmsgtype,eventmsgactiontype,eventmsgtype_desc,eventmsgactiontype_desc
1,0,made_shot,NA
1,1,made_shot,NA
1,2,made_shot,NA
1,3,made_shot,NA
1,4,made_shot,NA
1,5,made_shot,NA
1,6,made_shot,NA
1,7,made_shot,NA
1,8,made_shot,NA
1,9,made_shot,NA
1,40,made_shot,NA
1,41,made_shot,NA
1,42,made_shot,NA
1,43,made_shot,NA
1,44,made_shot,NA
1,45,made_shot,NA
1,46,made_shot,NA
1,47,made_shot,NA
1,48,made_shot,NA
1,49,made_shot,NA
1,50,made_shot,NA
1,51,made_shot,NA
1,52,made_shot,NA
1,53,made_shot,NA
1,54,made_shot,NA
1,55,made_shot,NA
1,56,made_shot,NA
1,57,made_shot,NA
1,58,made_shot,NA
1,59,made_shot,NA
1,60,made_shot,NA
1,61,made_shot,NA
1,62,made_shot,NA
1,63,made_shot,NA
1,64,made_shot,NA
1,65,made_shot,NA
1,66,made_shot,NA
1,67,made_shot,NA
1,71,made_shot,NA
1,72,made_shot,NA
1,73,made_shot,NA
1,74,made_shot,NA
1,75,made_shot,NA
1,76,made_shot,NA
1,77,made_shot,NA
1,78,made_shot,NA
1,79,made_shot,NA
1,80,made_shot,NA
1,81,made_shot,NA
1,82,made_shot,NA
1,83,made_shot,NA
1,84,made_shot,NA
1,85,made_shot,NA
1,86,made_shot,NA
1,87,made_shot,NA
1,88,made_shot,NA
1,89,made_shot,NA
1,90,made_shot,NA
1,91,made_shot,NA
1,92,made_shot,NA
1,93,made_shot,NA
1,94,made_shot,NA
1,95,made_shot,NA
1,96,made_shot,NA
1,97,made_shot,NA
1,98,made_shot,NA
1,99,made_shot,NA
1,100,made_shot,NA
1,101,made_shot,NA
1,102,made_shot,NA
1,103,made_shot,NA
1,104,made_shot,NA
1,105,made_shot,NA
1,106,made_shot,NA
1,107,made_shot,NA
1,108,made_shot,NA
1,109,made_shot,NA
1,110,made_shot,NA
2,0,missed_shot,NA
2,1,missed_shot,NA
2,2,missed_shot,NA
2,3,missed_shot,NA
2,4,missed_shot,NA
2,5,missed_shot,NA
2,6,missed_shot,NA
2,7,missed_shot,NA
2,8,missed_shot,NA
2,9,missed_shot,NA
2,40,missed_shot,NA
2,41,missed_shot,NA
2,42,missed_shot,NA
2,43,missed_shot,NA
2,44,missed_shot,NA
2,45,missed_shot,NA
2,46,missed_shot,NA
2,47,missed_shot,NA
2,48,missed_shot,NA
2,49,missed_shot,NA
2,50,missed_shot,NA
2,51,missed_shot,NA
2,52,missed_shot,NA
2,53,missed_shot,NA
2,54,missed_shot,NA
2,55,missed_shot,NA
2,56,missed_shot,NA
2,57,missed_shot,NA
2,58,missed_shot,NA
2,59,missed_shot,NA
2,60,missed_shot,NA
2,61,missed_shot,NA
2,62,missed_shot,NA
2,63,missed_shot,NA
2,64,missed_shot,NA
2,65,missed_shot,NA
2,66,missed_shot,NA
2,67,missed_shot,NA
2,71,missed_shot,NA
2,72,missed_shot,NA
2,73,missed_shot,NA
2,74,missed_shot,NA
2,75,missed_shot,NA
2,76,missed_shot,NA
2,77,missed_shot,NA
2,78,missed_shot,NA
2,79,missed_shot,NA
2,80,missed_shot,NA
2,81,missed_shot,NA
2,82,missed_shot,NA
2,83,missed_shot,NA
2,84,missed_shot,NA
2,85,missed_shot,NA
2,86,missed_shot,NA
2,87,missed_shot,NA
2,88,missed_shot,NA
2,89,missed_shot,NA
2,90,missed_shot,NA
2,91,missed_shot,NA
2,92,missed_shot,NA
2,93,missed_shot,NA
2,94,missed_shot,NA
2,95,missed_shot,NA
2,96,missed_shot,NA
2,97,missed_shot,NA
2,98,missed_shot,NA
2,99,missed_shot,NA
2,100,missed_shot,NA
2,101,missed_shot,NA
2,102,missed_shot,NA
2,103,missed_shot,NA
2,104,missed_shot,NA
2,105,missed_shot,NA
2,106,missed_shot,NA
2,107,missed_shot,NA
2,108,missed_shot,NA
2,109,missed_shot,NA
2,110,missed_shot,NA
3,10,free_throw,NA
3,11,free_throw,NA
3,12,free_throw,NA
3,13,free_throw,NA
3,14,free_throw,NA
3,15,free_throw,NA
3,16,free_throw,NA
3,17,free_throw,NA
3,18,free_throw,NA
3,19,free_throw,NA
3,20,free_throw,NA
3,21,free_throw,NA
3,22,free_throw,NA
3,23,free_throw,NA
3,24,free_throw,NA
3,25,free_throw,NA
3,26,free_throw,NA
3,27,free_throw,NA
3,28,free_throw,NA
3,29,free_throw,NA
4,0,rebound,NA
4,1,rebound,NA
4,2,rebound,NA
4,3,rebound,NA
4,4,rebound,NA
4,5,rebound,NA
4,17,rebound,NA
4,20,rebound,NA
4,40,rebound,NA
4,45,rebound,NA
4,53,rebound,NA
5,0,turnover,NA
5,1,turnover,bad_pass
5,2,turnover,lost_ball
